Razor Pos. (mm),Intensity (mV)
18,-10
18.04,-9
18.08,-7
18.12,-5
18.16,2
18.18,6
18.2,11
18.22,18
18.24,26
18.26,33
18.28,37
18.3,35
18.32,30
18.33,27
18.34,22
18.35,19
18.36,17
18.37,17
18.38,18
18.39,22
18.4,26
18.42,31
18.44,26
18.46,20
18.48,21
18.5,29
18,-9
18.04,-8
18.08,-6
18.12,-3
18.16,3
18.18,8
18.2,13
18.22,20
18.24,29
18.26,34
18.28,36
18.3,33
18.32,27
18.33,22
18.34,19
18.35,17
18.36,17
18.37,18
18.38,22
18.39,25
18.4,28
18.42,30
18.44,22
18.46,19
18.48,24
18.5,29
18,-10
18.04,-9
18.08,-7
18.12,-4
18.16,4
18.18,9
18.2,15
18.22,22
18.24,30
18.26,34
18.28,35
18.3,32
18.32,22
18.33,19
18.34,17
18.35,15
18.36,17
18.37,20
18.38,23
18.39,27
18.4,29
18.42,28
18.44,20
18.46,19
18.48,26
18.5,28
18,-10
18.04,-8
18.08,-6
18.12,-2
18.16,4
18.18,11
18.2,17
18.22,25
18.24,32
18.26,37
18.28,37
18.3,32
18.32,25
18.33,21
18.34,18
18.35,17
18.36,17
18.37,20
18.38,24
18.39,26
18.4,30
18.42,29
18.44,22
18.46,20
18.48,26
18.5,27
18,-10
18.04,-9
18.08,-6
18.12,-2
18.16,8
18.18,14
18.2,21
18.22,28
18.24,32
18.26,34
18.28,31
18.3,25
18.32,17
18.33,16
18.34,15
18.35,17
18.36,20
18.37,25
18.38,27
18.39,29
18.4,28
18.42,21
18.44,17
18.46,23
18.48,28
18.5,23